,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Vaini,TO,-21.2,-175.2,80.6,69,20,10.29
1,Rikitea,PF,-23.12,-134.97,72.45,100,92,19.62
2,Punta Arenas,CL,-53.16,-70.91,33.8,100,40,19.46
3,Ushuaia,AR,-54.81,-68.31,35.6,94,40,10.29
4,Hermanus,ZA,-34.42,19.24,51.3,98,64,7.99
5,Bredasdorp,ZA,-34.53,20.04,59.13,90,76,25.88
6,Port Elizabeth,ZA,-33.92,25.57,62.91,100,0,22.3
7,Port Alfred,ZA,-33.59,26.89,59.31,100,56,8.66
8,Busselton,AU,-33.64,115.35,62.73,100,80,16.26
9,Albany,AU,-35.02,117.88,58.77,91,92,12.46
10,New Norfolk,AU,-42.78,147.06,50.0,66,20,9.17
11,Hobart,AU,-42.88,147.33,50.0,66,20,9.17
12,Bluff,NZ,-46.6,168.33,50.13,98,80,14.47
13,Cape Town,ZA,-33.93,18.42,59.67,98,92,20.18
14,Kruisfontein,ZA,-34.0,24.73,56.52,90,0,16.49
15,Mar del Plata,AR,-46.43,-67.52,50.4,57,68,19.84
16,East London,ZA,-33.02,27.91,63.09,100,0,16.26
17,Saint-Philippe,RE,-21.36,55.77,68.0,45,0,9.17
18,Kaitangata,NZ,-46.28,169.85,44.82,90,76,12.68
19,Castro,CL,-42.48,-73.76,46.26,100,92,6.76
20,Necochea,AR,-38.55,-58.74,52.47,66,20,18.05
21,Chuy,UY,-33.69,-53.46,43.83,92,0,9.33
22,Cidreira,BR,-30.17,-50.22,48.6,89,0,7.76
23,Souillac,MU,-20.52,57.52,64.4,93,20,8.05
24,Avarua,CK,-21.21,-159.78,75.15,100,0,16.49
25,Ancud,CL,-41.87,-73.83,47.43,98,92,4.41
26,General Roca,AR,-39.03,-67.58,42.8,93,0,3.36
27,Rawson,AR,-43.3,-65.11,53.46,64,36,11.12
28,Arraial do Cabo,BR,-22.97,-42.02,69.75,96,68,10.0
29,Esperance,AU,-33.86,121.89,53.91,88,0,10.78
30,Port Lincoln,AU,-34.72,135.86,54.09,96,80,16.71
31,Warrnambool,AU,-38.38,142.48,51.75,100,20,10.45
32,Tuatapere,NZ,-46.13,167.69,46.8,100,92,8.1
33,Waipawa,NZ,-39.94,176.59,49.05,95,92,12.24
34,Lebu,CL,-37.62,-73.65,54.0,99,92,2.51
35,General Pico,AR,-35.66,-63.75,54.36,52,8,16.71
36,Rio Grande,BR,-32.03,-52.1,46.89,95,0,6.98
37,Jamestown,SH,-15.94,-5.72,70.38,100,92,16.82
38,Saldanha,ZA,-33.01,17.94,58.23,90,92,10.67
39,Butterworth,ZA,-32.33,28.14,48.96,95,8,3.74
